"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"U12";"SOT23-5";1;"24LC64T";;;
2;"U2";"QFN16_Termal_Pad";1;"A3918_L";;;
3;"U3";"QFN16_Termal_Pad";1;"A3918_R";;;
4;"IR4";"IR_RF";1;"R_Front";;;
5;"IR3";"IR_RD";1;"R_Diag";;;
6;"IR2";"IR_LD";1;"L_Diag";;;
7;"IR1";"IR_LF";1;"L_Front";;;
8;"K2";"Connecteur_Moteur_Zhonx";1;"R_Motor";;;
9;"K1";"Connecteur_Moteur_Zhonx";1;"L_Motor";;;
10;"PL1";"Platine_Zhonx_III";1;"PLATINE_ZHONX_III";;;
11;"K3";"Conn_Serial_Zhonx";1;"USART";;;
12;"P1";"Zhonx_III_JTAG";1;"JTAG";;;
13;"U18";"QRE1113GR";1;"Line_3";;;
14;"X1";"Quartz_8Z-16MHz";1;"QUARTZ_8Z";;;
15;"U16";"QRE1113GR";1;"Line_1";;;
16;"U20";"QRE1113GR";1;"Line_5";;;
17;"U19";"QRE1113GR";1;"Line_4";;;
18;"U4";"LTC2955";1;"LTC2955CTS8-2";;;
19;"D11";"LED-0603";1;"Bleue_Charge";;;
20;"SCH1";"SOD323";1;"BAT60";;;
21;"U7";"SOT223";1;"LM2940";;;
22;"C42";"SM0603_Capa";1;"10uF";;;
23;"D12";"LED-0603";1;"Blanc_5V";;;
24;"U14";"TQFP_64";1;"STM32F405RGT6";;;
25;"U11,U10";"SOT23_6";2;"BSL214N";;;
26;"U8,U9";"SOT23";2;"MCP1700";;;
27;"U17";"QRE1113GR";1;"Line_2";;;
28;"U1";"MCP73213";1;"MCP73213";;;
29;"L2";"SM0603";1;"10uH";;;
30;"D1";"SM0603";1;"4148";;;
31;"U5";"SC75-6L";1;"SIB911DK";;;
32;"SP1";"Buzzer_KSSG13J12";1;"KSSG13J12";;;
33;"Q1,Q2";"SOT23GDS";2;"FDV301N";;;
34;"U6";"SC70";1;"SI1551DL";;;
35;"C8,C13,C6,C30,C25,C4,C5,C14,C7,C3,C24,C21,C16,C35,C39,C12,C33,C10,C15,C23,C22,C32,C43,C45";"SM0402_ZHONX";24;"0,1uF";;;
36;"C1,C29,C9,C27";"SM0402_ZHONX";4;"2,2uF";;;
37;"C26,C34";"SM0402_ZHONX";2;"1uF";;;
38;"C28";"SM0402_ZHONX";1;"10nF";;;
39;"C36,C37,C38";"SM0402_ZHONX";3;"22nF";;;
40;"C20,C2,C17,C18,C31";"SM0402_ZHONX";5;"4,7uF";;;
41;"C40,C41";"SM0402_ZHONX";2;"18pF";;;
42;"R51,R52";"SM0402_ZHONX";2;"510";;;
43;"R16,R14,R11,R13,R7,R33";"SM0402_ZHONX";6;"10K";;;
44;"R48,R44,R49,R45";"SM0402_ZHONX";4;"1,8K";;;
45;"R15";"SM0402_ZHONX";1;"20K";;;
46;"R17,R10,R25,R24,R23,R22,R8,R21,R20,R18";"SM0402_ZHONX";10;"47K";;;
47;"R9,R6,R50,R12,R2,R26,R30";"SM0402_ZHONX";7;"100K";;;
48;"R4,R5";"SM0402_ZHONX";2;"1M";;;
49;"R1";"SM0402_ZHONX";1;"?";;;
50;"R19,R29";"SM0402_ZHONX";2;"820";;;
51;"C11";"SM0402_ZHONX";1;"150nF";;;
52;"R58,R67";"SM0402_ZHONX";2;"220";;;
53;"R64";"SM0402_ZHONX";1;"33";;;
54;"C19";"SM0402_ZHONX";1;"0.1uF";;;
55;"R3";"SM0402_ZHONX";1;"90K";;;
56;"R38";"SM0402_ZHONX";1;"100";;;
57;"C44";"SM0402_ZHONX";1;"0,1nF";;;
58;"R27,R28";"SM0603_ZHONX";2;"0,2 603";;;
59;"C103,C104,C101";"SM1206_Capa";3;"100uF";;;
60;"R34,R39";"SM0603_ZHONX";2;"12 0,3W";;;
61;"R35";"SM0603_ZHONX";1;"2.8 0,2W";;;
62;"ADXR1";"ADXRS620";1;"ADXRS620";;;
63;"C100";"SM1210_Capa";1;"100uF";;;
64;"R31,R32";"SM0402_ZHONX";2;"2K";;;
